Week,This Week's Gross,Last Week's Gross,Diff $,Potential Gross,Gross % of Potential,Average Ticket,Top Ticket,Seats,Total,Per,This Week %,Last Week %,Diff %
,,,,,,,,Sold,Seats,,,,
12/13/2009,"$1,624,400 ","$1,535,600 ","$88,800 ",$1 ,162440000.00%,$112.88 ,$300.00 ,"14,391","14,472",8,99.40%,94.70%,4.70%
12/20/2009,"$1,604,791 ","$1,624,400 ","($19,609)",$1 ,160479100.00%,$112.29 ,$300.00 ,"14,291","14,472",8,98.70%,99.40%,-0.70%
12/27/2009,"$2,092,745 ","$1,604,791 ","$487,954 ",$1 ,209274500.00%,$144.61 ,$300.00 ,"14,472","14,472",8,100%,98.70%,1.30%
01/03/2010,"$2,125,740 ","$2,092,745 ","$32,995 ",$1 ,212574000.00%,$146.89 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
01/10/2010,"$1,539,959 ","$2,125,740 ","($585,781)",$1 ,153995900.00%,$106.41 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
01/17/2010,"$1,460,131 ","$1,539,959 ","($79,828)",$1 ,146013100.00%,$104.94 ,$300.00 ,"13,914","14,472",8,96.10%,100%,-3.90%
01/24/2010,"$1,377,097 ","$1,460,131 ","($83,034)",$1 ,137709700.00%,$99.27 ,$300.00 ,"13,872","14,472",8,95.90%,96.10%,-0.20%
01/31/2010,"$1,337,056 ","$1,377,097 ","($40,041)",$1 ,133705600.00%,$96.45 ,$300.00 ,"13,863","14,472",8,95.80%,95.90%,-0.10%
02/07/2010,"$1,285,902 ","$1,337,056 ","($51,154)",$1 ,128590200.00%,$95.21 ,$300.00 ,"13,506","14,472",8,93.30%,95.80%,-2.50%
02/14/2010,"$1,359,810 ","$1,285,902 ","$73,908 ",$1 ,135981000.00%,$99.84 ,$300.00 ,"13,620","14,472",8,94.10%,93.30%,0.80%
02/21/2010,"$1,602,783 ","$1,359,810 ","$242,973 ",$1 ,160278300.00%,$110.75 ,$300.00 ,"14,472","14,472",8,100%,94.10%,5.90%
02/28/2010,"$1,353,808 ","$1,602,783 ","($248,975)",$1 ,135380800.00%,$95.58 ,$300.00 ,"14,164","14,472",8,97.90%,100%,-2.10%
03/07/2010,"$1,337,882 ","$1,353,808 ","($15,926)",$1 ,133788200.00%,$94.12 ,$300.00 ,"14,215","14,472",8,98.20%,97.90%,0.30%
03/14/2010,"$1,505,286 ","$1,337,882 ","$167,404 ",$1 ,150528600.00%,$104.01 ,$300.00 ,"14,472","14,472",8,100%,98.20%,1.80%
03/21/2010,"$1,583,765 ","$1,505,286 ","$78,479 ",$1 ,158376500.00%,$109.44 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
03/28/2010,"$1,565,719 ","$1,583,765 ","($18,046)",$1 ,156571900.00%,$108.19 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
04/04/2010,"$1,686,510 ","$1,565,719 ","$120,791 ",$1 ,168651000.00%,$116.54 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
04/11/2010,"$1,678,013 ","$1,686,510 ","($8,497)",$1 ,167801300.00%,$115.95 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
04/18/2010,"$1,561,198 ","$1,678,013 ","($116,815)",$1 ,156119800.00%,$108.03 ,$300.00 ,"14,452","14,472",8,99.90%,100%,-0.10%
04/25/2010,"$1,565,019 ","$1,561,198 ","$3,821 ",$1 ,156501900.00%,$108.14 ,$300.00 ,"14,472","14,472",8,100%,99.90%,0.10%
05/02/2010,"$1,510,925 ","$1,565,019 ","($54,094)",$1 ,151092500.00%,$105.09 ,$300.00 ,"14,378","14,472",8,99.40%,100%,-0.60%
05/09/2010,"$1,529,199 ","$1,510,925 ","$18,274 ",$1 ,152919900.00%,$106.94 ,$300.00 ,"14,300","14,472",8,98.80%,99.40%,-0.60%
05/16/2010,"$1,549,754 ","$1,529,199 ","$20,555 ",$1 ,154975400.00%,$107.09 ,$300.00 ,"14,472","14,472",8,100%,98.80%,1.20%
05/23/2010,"$1,576,010 ","$1,549,754 ","$26,256 ",$1 ,157601000.00%,$108.90 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
05/30/2010,"$1,570,390 ","$1,576,010 ","($5,620)",$1 ,157039000.00%,$108.51 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/06/2010,"$1,570,925 ","$1,570,390 ",$535 ,$1 ,157092500.00%,$108.55 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/13/2010,"$1,614,485 ","$1,570,925 ","$43,560 ",$1 ,161448500.00%,$111.56 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/20/2010,"$1,620,876 ","$1,614,485 ","$6,391 ",$1 ,162087600.00%,$112.00 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/27/2010,"$1,641,718 ","$1,620,876 ","$20,842 ",$1 ,164171800.00%,$113.44 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
07/04/2010,"$1,620,851 ","$1,641,718 ","($20,867)",$1 ,162085100.00%,$112.00 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
07/11/2010,"$1,650,562 ","$1,620,851 ","$29,711 ",$1 ,165056200.00%,$114.05 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
07/18/2010,"$1,681,570 ","$1,650,562 ","$31,008 ",$1 ,168157000.00%,$116.19 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
07/25/2010,"$1,707,154 ","$1,681,570 ","$25,584 ",$1 ,170715400.00%,$117.96 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
08/01/2010,"$1,720,540 ","$1,707,154 ","$13,386 ",$1 ,172054000.00%,$118.89 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
08/08/2010,"$1,745,925 ","$1,720,540 ","$25,385 ",$1 ,174592500.00%,$120.64 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
08/15/2010,"$1,733,834 ","$1,745,925 ","($12,091)",$1 ,173383400.00%,$119.81 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
08/22/2010,"$1,688,034 ","$1,733,834 ","($45,800)",$1 ,168803400.00%,$116.64 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
08/29/2010,"$1,664,108 ","$1,688,034 ","($23,926)",$1 ,166410800.00%,$114.99 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
09/05/2010,"$1,622,078 ","$1,664,108 ","($42,030)",$1 ,162207800.00%,$112.08 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
09/12/2010,"$1,400,569 ","$1,622,078 ","($221,509)",$1 ,140056900.00%,$101.92 ,$300.00 ,"13,742","14,472",8,95%,100%,-5%
09/19/2010,"$1,479,055 ","$1,400,569 ","$78,486 ",$1 ,147905500.00%,$103.21 ,$300.00 ,"14,331","14,472",8,99%,95%,4%
09/26/2010,"$1,495,013 ","$1,479,055 ","$15,958 ",$1 ,149501300.00%,$103.48 ,$300.00 ,"14,447","14,472",8,99.80%,99%,0.80%
10/03/2010,"$1,507,992 ","$1,495,013 ","$12,979 ",$1 ,150799200.00%,$104.61 ,$300.00 ,"14,415","14,472",8,99.60%,99.80%,-0.20%
10/10/2010,"$1,602,698 ","$1,507,992 ","$94,706 ",$1 ,160269800.00%,$111.81 ,$300.00 ,"14,334","14,472",8,99%,99.60%,-0.60%
10/17/2010,"$1,576,947 ","$1,602,698 ","($25,751)",$1 ,157694700.00%,$108.97 ,$300.00 ,"14,472","14,472",8,100%,99%,1%
10/24/2010,"$1,573,370 ","$1,576,947 ","($3,577)",$1 ,157337000.00%,$108.85 ,$300.00 ,"14,455","14,472",8,99.90%,100%,-0.10%
10/31/2010,"$1,541,013 ","$1,573,370 ","($32,357)",$1 ,154101300.00%,$106.48 ,$300.00 ,"14,472","14,472",8,100%,99.90%,0.10%
11/07/2010,"$1,547,866 ","$1,541,013 ","$6,853 ",$1 ,154786600.00%,$108.72 ,$300.00 ,"14,237","14,472",8,98.40%,100%,-1.60%
11/14/2010,"$1,567,087 ","$1,547,866 ","$19,221 ",$1 ,156708700.00%,$110.47 ,$300.00 ,"14,185","14,472",8,98%,98.40%,-0.40%
11/21/2010,"$1,509,711 ","$1,567,087 ","($57,376)",$1 ,150971100.00%,$108.36 ,$300.00 ,"13,933","14,472",8,96.30%,98%,-1.70%
11/28/2010,"$2,150,665 ","$1,509,711 ","$640,954 ",$1 ,215066500.00%,$148.61 ,$300.00 ,"14,472","14,472",8,100%,96.30%,3.70%
12/05/2010,"$1,566,919 ","$2,150,665 ","($583,746)",$1 ,156691900.00%,$114.62 ,$300.00 ,"13,671","14,472",8,94.50%,100%,-5.50%
12/12/2010,"$1,645,313 ","$1,566,919 ","$78,394 ",$1 ,164531300.00%,$115.78 ,$300.00 ,"14,211","14,472",8,98.20%,94.50%,3.70%
12/19/2010,"$1,631,743 ","$1,645,313 ","($13,570)",$1 ,163174300.00%,$115.12 ,$300.00 ,"14,174","14,472",8,97.90%,98.20%,-0.30%
12/26/2010,"$2,153,110 ","$1,631,743 ","$521,367 ",$1 ,215311000.00%,$148.78 ,$300.00 ,"14,472","14,472",8,100%,97.90%,2.10%
01/02/2011,"$2,228,235 ","$2,153,110 ","$75,125 ",$1 ,222823500.00%,$153.97 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
01/09/2011,"$1,588,456 ","$2,228,235 ","($639,779)",$1 ,158845600.00%,$109.76 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
01/16/2011,"$1,540,868 ","$1,588,456 ","($47,588)",$1 ,154086800.00%,$108.30 ,$300.00 ,"14,228","14,472",8,98.30%,100%,-1.70%
01/23/2011,"$1,401,082 ","$1,540,868 ","($139,786)",$1 ,140108200.00%,$100.28 ,$300.00 ,"13,972","14,472",8,96.50%,98.30%,-1.80%
01/30/2011,"$1,308,560 ","$1,401,082 ","($92,522)",$1 ,130856000.00%,$98.15 ,$300.00 ,"13,332","14,472",8,92.10%,96.50%,-4.40%
02/06/2011,"$1,214,880 ","$1,308,560 ","($93,680)",$1 ,121488000.00%,$94.30 ,$300.00 ,"12,883","14,472",8,89%,92.10%,-3.10%
02/13/2011,"$1,436,121 ","$1,214,880 ","$221,241 ",$1 ,143612100.00%,$102.40 ,$300.00 ,"14,024","14,472",8,96.90%,89%,7.90%
02/20/2011,"$1,526,036 ","$1,436,121 ","$89,915 ",$1 ,152603600.00%,$108.23 ,$300.00 ,"14,100","14,472",8,97.40%,96.90%,0.50%
02/27/2011,"$1,660,095 ","$1,526,036 ","$134,059 ",$1 ,166009500.00%,$114.71 ,$300.00 ,"14,472","14,472",8,100%,97.40%,2.60%
03/06/2011,"$1,388,574 ","$1,660,095 ","($271,521)",$1 ,138857400.00%,$97.77 ,$300.00 ,"14,202","14,472",8,98.10%,100%,-1.90%
03/13/2011,"$1,545,232 ","$1,388,574 ","$156,658 ",$1 ,154523200.00%,$106.77 ,$300.00 ,"14,472","14,472",8,100%,98.10%,1.90%
03/20/2011,"$1,670,779 ","$1,545,232 ","$125,547 ",$1 ,167077900.00%,$115.45 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
03/27/2011,"$1,627,422 ","$1,670,779 ","($43,357)",$1 ,162742200.00%,$112.45 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
04/03/2011,"$1,623,653 ","$1,627,422 ","($3,769)",$1 ,162365300.00%,$112.19 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
04/10/2011,"$1,646,991 ","$1,623,653 ","$23,338 ",$1 ,164699100.00%,$113.95 ,$300.00 ,"14,454","14,472",8,99.90%,100%,-0.10%
04/17/2011,"$1,663,270 ","$1,646,991 ","$16,279 ",$1 ,166327000.00%,$115.42 ,$300.00 ,"14,410","14,472",8,99.60%,99.90%,-0.30%
04/24/2011,"$1,843,855 ","$1,663,270 ","$180,585 ",$1 ,184385500.00%,$127.41 ,$300.00 ,"14,472","14,472",8,100%,99.60%,0.40%
05/01/2011,"$1,736,420 ","$1,843,855 ","($107,435)",$1 ,173642000.00%,$119.98 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
05/08/2011,"$1,599,916 ","$1,736,420 ","($136,504)",$1 ,159991600.00%,$112.06 ,$300.00 ,"14,277","14,472",8,98.70%,100%,-1.30%
05/15/2011,"$1,606,974 ","$1,599,916 ","$7,058 ",$1 ,160697400.00%,$113.12 ,$300.00 ,"14,206","14,472",8,98.20%,98.70%,-0.50%
05/22/2011,"$1,696,763 ","$1,606,974 ","$89,789 ",$1 ,169676300.00%,$117.24 ,$300.00 ,"14,472","14,472",8,100%,98.20%,1.80%
05/29/2011,"$1,732,752 ","$1,696,763 ","$35,989 ",$1 ,173275200.00%,$119.73 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/05/2011,"$1,705,602 ","$1,732,752 ","($27,150)",$1 ,170560200.00%,$117.86 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/12/2011,"$1,752,076 ","$1,705,602 ","$46,474 ",$1 ,175207600.00%,$121.07 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/19/2011,"$1,775,427 ","$1,752,076 ","$23,351 ",$1 ,177542700.00%,$122.68 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
06/26/2011,"$1,830,739 ","$1,775,427 ","$55,312 ",$1 ,183073900.00%,$126.50 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
07/03/2011,"$1,835,710 ","$1,830,739 ","$4,971 ",$1 ,183571000.00%,$127.48 ,$300.00 ,"14,400","14,472",8,99.50%,100%,-0.50%
07/10/2011,"$1,867,819 ","$1,835,710 ","$32,109 ",$1 ,186781900.00%,$129.06 ,$300.00 ,"14,472","14,472",8,100%,99.50%,0.50%
07/17/2011,"$1,863,700 ","$1,867,819 ","($4,119)",$1 ,186370000.00%,$128.90 ,$300.00 ,"14,459","14,472",8,99.90%,100%,-0.10%
07/24/2011,"$1,882,731 ","$1,863,700 ","$19,031 ",$1 ,188273100.00%,$130.09 ,$300.00 ,"14,472","14,472",8,100%,99.90%,0.10%
07/31/2011,"$1,892,399 ","$1,882,731 ","$9,668 ",$1 ,189239900.00%,$130.76 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
08/07/2011,"$1,887,489 ","$1,892,399 ","($4,910)",$1 ,188748900.00%,$130.42 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
08/14/2011,"$1,886,230 ","$1,887,489 ","($1,259)",$1 ,188623000.00%,$130.61 ,$300.00 ,"14,442","14,472",8,99.80%,100%,-0.20%
08/21/2011,"$1,820,989 ","$1,886,230 ","($65,241)",$1 ,182098900.00%,$128.61 ,$300.00 ,"14,159","14,472",8,97.80%,99.80%,-2%
08/28/2011,"$1,031,290 ","$1,820,989 ","($789,699)",$1 ,103129000.00%,$121.54 ,$300.00 ,"8,485","9,045",5,93.80%,97.80%,-4%
09/04/2011,"$1,602,104 ","$1,031,290 ","$570,814 ",$1 ,160210400.00%,$117.12 ,$300.00 ,"13,679","14,472",8,94.50%,93.80%,0.70%
09/11/2011,"$1,253,990 ","$1,602,104 ","($348,114)",$1 ,125399000.00%,$102.85 ,$300.00 ,"12,193","14,472",8,84.30%,94.50%,-10.20%
09/18/2011,"$1,479,369 ","$1,253,990 ","$225,379 ",$1 ,147936900.00%,$106.73 ,$300.00 ,"13,861","14,472",8,95.80%,84.30%,11.50%
09/25/2011,"$1,561,913 ","$1,479,369 ","$82,544 ",$1 ,156191300.00%,$110.62 ,$300.00 ,"14,119","14,472",8,97.60%,95.80%,1.80%
10/02/2011,"$1,593,748 ","$1,561,913 ","$31,835 ",$1 ,159374800.00%,$111.31 ,$300.00 ,"14,318","14,472",8,98.90%,97.60%,1.30%
10/09/2011,"$1,656,867 ","$1,593,748 ","$63,119 ",$1 ,165686700.00%,$117.10 ,$300.00 ,"14,149","14,472",8,97.80%,98.90%,-1.10%
10/16/2011,"$1,675,421 ","$1,656,867 ","$18,554 ",$1 ,167542100.00%,$116.12 ,$300.00 ,"14,428","14,472",8,99.70%,97.80%,1.90%
10/23/2011,"$1,698,824 ","$1,675,421 ","$23,403 ",$1 ,169882400.00%,$117.53 ,$300.00 ,"14,454","14,472",8,99.90%,99.70%,0.20%
10/30/2011,"$1,629,545 ","$1,698,824 ","($69,279)",$1 ,162954500.00%,$113.74 ,$300.00 ,"14,327","14,472",8,99%,99.90%,-0.90%
11/06/2011,"$1,535,611 ","$1,629,545 ","($93,934)",$1 ,153561100.00%,$110.95 ,$300.00 ,"13,841","14,472",8,95.60%,99%,-3.40%
11/13/2011,"$1,646,583 ","$1,535,611 ","$110,972 ",$1 ,164658300.00%,$117.65 ,$300.00 ,"13,996","14,472",8,96.70%,95.60%,1.10%
11/20/2011,"$1,535,489 ","$1,646,583 ","($111,094)",$1 ,153548900.00%,$115.31 ,$300.00 ,"13,316","14,472",8,92%,96.70%,-4.70%
11/27/2011,"$2,205,025 ","$1,535,489 ","$669,536 ",$1 ,220502500.00%,$152.36 ,$300.00 ,"14,472","14,472",8,100%,92%,8%
12/04/2011,"$1,656,955 ","$2,205,025 ","($548,070)",$1 ,165695500.00%,$124.68 ,$300.00 ,"13,290","14,472",8,91.80%,100%,-8.20%
12/11/2011,"$1,777,817 ","$1,656,955 ","$120,862 ",$1 ,177781700.00%,$125.46 ,$300.00 ,"14,170","14,472",8,97.90%,91.80%,6.10%
12/18/2011,"$1,762,301 ","$1,777,817 ","($15,516)",$1 ,176230100.00%,$129.16 ,$300.00 ,"13,644","14,472",8,94.30%,97.90%,-3.60%
12/25/2011,"$2,107,015 ","$1,762,301 ","$344,714 ",$1 ,210701500.00%,$146.65 ,$300.00 ,"14,368","14,472",8,99.30%,94.30%,5%
01/01/2012,"$2,712,535 ",$0 ,"$2,712,535 ",$1 ,271253500.00%,$166.61 ,$300.00 ,"16,281","16,281",9,100%,0%,0%
01/08/2012,"$1,850,216 ","$2,712,535 ","($862,319)",$1 ,185021600.00%,$130.32 ,$300.00 ,"14,197","14,472",8,98.10%,0%,98.10%
01/15/2012,"$1,792,976 ","$1,850,216 ","($57,240)",$1 ,179297600.00%,$123.93 ,$300.00 ,"14,468","14,472",8,100%,98.10%,1.90%
01/22/2012,"$1,534,111 ","$1,792,976 ","($258,865)",$1 ,153411100.00%,$110.02 ,$300.00 ,"13,944","14,472",8,96.40%,100%,-3.60%
01/29/2012,"$1,503,461 ","$1,534,111 ","($30,650)",$1 ,150346100.00%,$109.60 ,$300.00 ,"13,718","14,472",8,94.80%,96.40%,-1.60%
02/05/2012,"$1,349,433 ","$1,503,461 ","($154,028)",$1 ,134943300.00%,$102.87 ,$300.00 ,"13,118","14,472",8,90.60%,94.80%,-4.20%
02/12/2012,"$1,508,501 ","$1,349,433 ","$159,068 ",$1 ,150850100.00%,$106.92 ,$300.00 ,"14,109","14,472",8,97.50%,90.60%,6.90%
02/19/2012,"$1,903,024 ","$1,508,501 ","$394,523 ",$1 ,190302400.00%,$131.72 ,$300.00 ,"14,448","14,472",8,99.80%,97.50%,2.30%
02/26/2012,"$1,872,679 ","$1,903,024 ","($30,345)",$1 ,187267900.00%,$129.40 ,$300.00 ,"14,472","14,472",8,100%,99.80%,0.20%
03/04/2012,"$1,501,011 ","$1,872,679 ","($371,668)",$1 ,150101100.00%,$109.70 ,$300.00 ,"13,683","14,472",8,94.50%,100%,-5.50%
03/11/2012,"$1,662,595 ","$1,501,011 ","$161,584 ",$1 ,166259500.00%,$116.71 ,$300.00 ,"14,245","14,472",8,98.40%,94.50%,3.90%
03/18/2012,"$1,942,288 ","$1,662,595 ","$279,693 ",$1 ,194228800.00%,$134.21 ,$300.00 ,"14,472","14,472",8,100%,98.40%,1.60%
03/25/2012,"$1,808,773 ","$1,942,288 ","($133,515)",$1 ,180877300.00%,$128.57 ,$300.00 ,"14,068","14,472",8,97.20%,100%,-2.80%
04/01/2012,"$1,841,661 ","$1,808,773 ","$32,888 ",$1 ,184166100.00%,$131.53 ,$300.00 ,"14,002","14,472",8,96.80%,97.20%,-0.40%
04/08/2012,"$2,183,025 ","$1,841,661 ","$341,364 ",$1 ,218302500.00%,$150.84 ,$300.00 ,"14,472","14,472",8,100%,96.80%,3.20%
04/15/2012,"$2,153,975 ","$2,183,025 ","($29,050)",$1 ,215397500.00%,$148.84 ,$300.00 ,"14,472","14,472",8,100%,100%,0%
04/22/2012,"$1,800,949 ","$2,153,975 ","($353,026)",$1 ,180094900.00%,$128.25 ,$300.00 ,"14,042","14,472",8,97%,100%,-3%
04/29/2012,"$1,742,571 ","$1,800,949 ","($58,378)",$1 ,174257100.00%,$127.70 ,$300.00 ,"13,646","14,472",8,94.30%,97%,-2.70%
05/06/2012,"$1,643,258 ","$1,742,571 ","($99,313)",$1 ,164325800.00%,$122.92 ,$300.00 ,"13,368","14,472",8,92.40%,94.30%,-1.90%
05/13/2012,"$1,579,314 ","$1,643,258 ","($63,944)",$1 ,157931400.00%,$124.56 ,$300.00 ,"12,679","14,472",8,87.60%,92.40%,-4.80%
05/20/2012,"$1,831,193 ","$1,579,314 ","$251,879 ",$1 ,183119300.00%,$128.38 ,$300.00 ,"14,264","14,472",8,98.60%,87.60%,11%
05/27/2012,"$1,896,633 ","$1,831,193 ","$65,440 ",$1 ,189663300.00%,$131.38 ,$300.00 ,"14,436","14,472",8,99.80%,98.60%,1.20%
06/03/2012,"$1,802,133 ","$1,896,633 ","($94,500)",$1 ,180213300.00%,$126.39 ,$300.00 ,"14,258","14,472",8,98.50%,99.80%,-1.30%
06/10/2012,"$1,990,184 ","$1,802,133 ","$188,051 ",$1 ,199018400.00%,$139.30 ,$300.00 ,"14,287","14,472",8,98.70%,98.50%,0.20%
06/17/2012,"$1,980,203 ","$1,990,184 ","($9,981)",$1 ,198020300.00%,$139.98 ,$300.00 ,"14,146","14,472",8,97.70%,98.70%,-1%
06/24/2012,"$2,038,405 ","$1,980,203 ","$58,202 ",$1 ,203840500.00%,$144.66 ,$300.00 ,"14,091","14,472",8,97.40%,97.70%,-0.30%
07/01/2012,"$2,033,004 ","$2,038,405 ","($5,401)",$1 ,203300400.00%,$144.44 ,$300.00 ,"14,075","14,472",8,97.30%,97.40%,-0.10%
07/08/2012,"$1,920,563 ","$2,033,004 ","($112,441)",$1 ,192056300.00%,$138.81 ,$300.00 ,"13,836","14,472",8,95.60%,97.30%,-1.70%
07/15/2012,"$1,980,214 ","$1,920,563 ","$59,651 ",$1 ,198021400.00%,$140.56 ,$300.00 ,"14,088","14,472",8,97.30%,95.60%,1.70%
07/22/2012,"$2,145,917 ","$1,980,214 ","$165,703 ",$1 ,214591700.00%,$140.19 ,$300.00 ,"15,307","16,281",9,94%,97.30%,-3.30%
07/29/2012,"$2,055,433 ","$2,145,917 ","($90,484)",$1 ,205543300.00%,$144.49 ,$300.00 ,"14,225","14,472",8,98.30%,94%,4.30%
08/05/2012,"$2,013,559 ","$2,055,433 ","($41,874)",$1 ,201355900.00%,$143.52 ,$300.00 ,"14,030","14,472",8,96.90%,98.30%,-1.40%
08/12/2012,"$2,147,461 ","$2,013,559 ","$133,902 ",$1 ,214746100.00%,$138.81 ,$300.00 ,"15,470","16,281",9,95%,96.90%,-1.90%
08/19/2012,"$1,818,537 ","$2,147,461 ","($328,924)",$1 ,181853700.00%,$138.31 ,$300.00 ,"13,148","14,472",8,90.90%,95%,-4.10%
08/26/2012,"$1,690,150 ","$1,818,537 ","($128,387)",$1 ,169015000.00%,$132.31 ,$300.00 ,"12,774","14,472",8,88.30%,90.90%,-2.60%
09/02/2012,"$1,700,412 ","$1,690,150 ","$10,262 ",$1 ,170041200.00%,$124.95 ,$300.00 ,"13,609","14,472",8,94%,88.30%,5.70%
09/09/2012,"$1,313,195 ","$1,700,412 ","($387,217)",$1 ,131319500.00%,$106.33 ,$300.00 ,"12,350","14,472",8,85.30%,94%,-8.70%
09/16/2012,"$1,435,082 ","$1,313,195 ","$121,887 ",$1 ,143508200.00%,$106.71 ,$300.00 ,"13,449","14,472",8,92.90%,85.30%,7.60%
09/23/2012,"$1,495,735 ","$1,435,082 ","$60,653 ",$1 ,149573500.00%,$110.29 ,$300.00 ,"13,562","14,472",8,93.70%,92.90%,0.80%
09/30/2012,"$1,536,124 ","$1,495,735 ","$40,389 ",$1 ,153612400.00%,$114.32 ,$300.00 ,"13,437","14,472",8,92.80%,93.70%,-0.90%
10/07/2012,"$1,806,846 ","$1,536,124 ","$270,722 ",$1 ,180684600.00%,$124.93 ,$300.00 ,"14,463","14,472",8,99.90%,92.80%,7.10%
10/14/2012,"$1,691,769 ","$1,806,846 ","($115,077)",$1 ,169176900.00%,$116.93 ,$300.00 ,"14,468","14,472",8,100%,99.90%,0.10%
10/21/2012,"$1,717,002 ","$1,691,769 ","$25,233 ",$1 ,171700200.00%,$118.76 ,$300.00 ,"14,458","14,472",8,99.90%,100%,-0.10%
10/28/2012,"$1,657,271 ","$1,717,002 ","($59,731)",$1 ,165727100.00%,$116.93 ,$300.00 ,"14,173","14,472",8,97.90%,99.90%,-2%
11/04/2012,"$1,166,275 ","$1,657,271 ","($490,996)",$1 ,116627500.00%,$114.92 ,$300.00 ,"10,149","12,663",7,80.10%,97.90%,-17.80%
11/11/2012,"$1,506,283 ","$1,166,275 ","$340,008 ",$1 ,150628300.00%,$119.93 ,$300.00 ,"12,560","14,472",8,86.80%,80.10%,6.70%
11/18/2012,"$1,598,476 ","$1,506,283 ","$92,193 ",$1 ,159847600.00%,$120.70 ,$300.00 ,"13,243","14,472",8,91.50%,86.80%,4.70%
11/25/2012,"$2,290,819 ","$1,598,476 ","$692,343 ",$1 ,229081900.00%,$163.04 ,$300.00 ,"14,051","14,472",8,97.10%,91.50%,5.60%
12/02/2012,"$1,696,781 ","$2,290,819 ","($594,038)",$1 ,169678100.00%,$136.80 ,$300.00 ,"12,403","14,472",8,85.70%,97.10%,-11.40%
12/09/2012,"$1,825,121 ","$1,696,781 ","$128,340 ",$1 ,182512100.00%,$139.93 ,$300.00 ,"13,043","14,472",8,90.10%,85.70%,4.40%
12/16/2012,"$1,866,094 ","$1,825,121 ","$40,973 ",$1 ,186609400.00%,$138.72 ,$300.00 ,"13,452","14,472",8,93%,90.10%,2.90%
12/23/2012,"$2,100,170 ","$1,866,094 ","$234,076 ",$1 ,210017000.00%,$156.43 ,$300.00 ,"13,426","14,472",8,92.80%,93%,-0.20%
12/30/2012,"$2,947,172 ","$2,100,170 ","$847,002 ",$1 ,294717200.00%,$181.02 ,$300.00 ,"16,281","16,281",9,100%,92.80%,7.20%
01/06/2013,"$2,106,339 ","$2,947,172 ","($840,833)",$1 ,210633900.00%,$146.07 ,$300.00 ,"14,420","14,472",8,99.60%,100%,-0.40%
01/13/2013,"$1,519,043 ","$2,106,339 ","($587,296)",$1 ,151904300.00%,$111.81 ,$300.00 ,"13,586","14,472",8,93.90%,99.60%,-5.70%
01/20/2013,"$1,700,024 ","$1,519,043 ","$180,981 ",$1 ,170002400.00%,$123.48 ,$300.00 ,"13,768","14,472",8,95.10%,93.90%,1.20%
01/27/2013,"$1,493,804 ","$1,700,024 ","($206,220)",$1 ,149380400.00%,$105.32 ,$300.00 ,"14,184","14,472",8,98%,95.10%,2.90%
02/03/2013,"$1,419,249 ","$1,493,804 ","($74,555)",$1 ,141924900.00%,$100.72 ,$300.00 ,"14,091","14,472",8,97.40%,98%,-0.60%
02/10/2013,"$1,355,055 ","$1,419,249 ","($64,194)",$1 ,135505500.00%,$103.70 ,$300.00 ,"13,067","14,472",8,90.30%,97.40%,-7.10%
02/17/2013,"$1,875,920 ","$1,355,055 ","$520,865 ",$1 ,187592000.00%,$132.89 ,$300.00 ,"14,116","14,472",8,97.50%,90.30%,7.20%
02/24/2013,"$1,657,584 ","$1,875,920 ","($218,336)",$1 ,165758400.00%,$119.47 ,$300.00 ,"13,874","14,472",8,95.90%,97.50%,-1.60%
